date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:19	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2030%20Oct%202024%2021:46:18%20GMT	https://trustpad-ob.com/robots.txt		(from )
22:46:19	20067/20067	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Oct%202024%2021:46:18%20GMT	https://trustpad-ob.com/poon/	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/index.html	(from )
22:46:19	1342/1342	---M--	200	added ('OK')	image/png	etag:%2266887f96-53e%22	https://trustpad-ob.com/poon/favicon.png	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/favicon.png	(from https://trustpad-ob.com/poon/)
22:46:19	2428931/2428931	---MCZ	200	added ('OK')	application/javascript	etag:W/%22671f931c-251003%22	https://trustpad-ob.com/poon/1abedce8-3afa-4640-a9fa-4ec3f704cc7f.js	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/1abedce8-3afa-4640-a9fa-4ec3f704cc7f.js	(from https://trustpad-ob.com/poon/)
22:46:20	232803/232803	---MCZ	200	added ('OK')	text/css	etag:W/%2266887f96-38d63%22	https://trustpad-ob.com/poon/assets/bootstrap.min.css	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/bootstrap.min.css	(from https://trustpad-ob.com/poon/)
22:46:20	31676/31676	---MCZ	200	added ('OK')	font/ttf	etag:W/%227bbc-61c884cb00d00%22	https://trustpad-ob.com/poon/assets/Alfphabet-IV.ttf	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/Alfphabet-IV.ttf	(from https://trustpad-ob.com/poon/)
22:46:20	180166/180166	---M--	200	added ('OK')	image/png	etag:%2266887f96-2bfc6%22	https://trustpad-ob.com/poon/assets/main.png	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/main.png	(from https://trustpad-ob.com/poon/)
22:46:20	85875/85875	---M-Z	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	C:/My%20Web%20Sites/charmes%20%202poon/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://trustpad-ob.com/poon/)
22:46:21	1228/1228	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266887f96-4cc%22	https://trustpad-ob.com/poon/assets/logo.svg	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/logo.svg	(from https://trustpad-ob.com/poon/)
22:46:21	1806/1806	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266887f96-70e%22	https://trustpad-ob.com/poon/assets/pancakeswap.svg	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/pancakeswap.svg	(from https://trustpad-ob.com/poon/)
22:46:21	4550/4550	---M--	200	added ('OK')	image/webp	etag:%2266f2ae17-11c6%22	https://trustpad-ob.com/poon/POON.webp	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/POON.webp	(from https://trustpad-ob.com/poon/)
22:46:21	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/charmes%20%202poon/code.jquery.com/jquery-3.6.0.min.js	(from https://trustpad-ob.com/poon/)
22:46:22	80721/80721	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266887f94-13b51%22	https://trustpad-ob.com/poon/assets/bootstrap.bundle.min.js	C:/My%20Web%20Sites/charmes%20%202poon/trustpad-ob.com/poon/assets/bootstrap.bundle.min.js	(from https://trustpad-ob.com/poon/)
22:46:22	130396/130396	---M--	200	added ('OK')	font/woff2	etag:W/%221fd5c-Agw8b5KAoxXoQl1/kuFbzQzdobI%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/charmes%20%202poon/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
22:46:23	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
22:46:23	176032/176032	---M--	200	added ('OK')	font/woff	etag:W/%222afa0-1YMf05uvE6/3Ym5IO5oIlzDxhgQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/My%20Web%20Sites/charmes%20%202poon/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/fonts/bootstrap-icons0107.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css)
